iter	Passed	Remaining
0	0	64
1	1	62
2	1	59
3	2	58
4	3	68
5	4	73
6	5	77
7	6	76
8	7	75
9	8	74
10	9	73
11	9	72
12	11	74
13	11	72
14	12	71
15	13	70
16	14	68
17	14	67
18	15	67
19	16	67
20	18	68
21	19	67
22	19	66
23	20	65
24	21	63
25	21	62
26	22	61
27	23	59
28	24	58
29	24	57
30	25	56
31	26	55
32	26	54
33	27	53
34	28	52
35	29	51
36	30	51
37	31	51
38	32	50
39	32	49
40	33	48
41	33	46
42	34	45
43	35	44
44	35	43
45	36	42
46	37	41
47	37	41
48	38	39
49	39	39
50	39	38
51	40	37
52	40	36
53	41	35
54	42	34
55	43	33
56	43	33
57	44	32
58	45	31
59	45	30
60	46	29
61	47	28
62	47	28
63	48	27
64	48	26
65	49	25
66	50	24
67	50	23
68	51	23
69	51	22
70	52	21
71	52	20
72	53	19
73	54	19
74	55	18
75	55	17
76	56	16
77	57	16
78	57	15
79	58	14
80	58	13
81	59	13
82	60	12
83	60	11
84	61	10
85	61	10
86	62	9
87	62	8
88	63	7
89	63	7
90	64	6
91	64	5
92	65	4
93	66	4
94	67	3
95	67	2
96	69	2
97	69	1
98	70	0
99	70	0
